"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64113","ZCTA5 64113","211","147","128","117","0","18","42","65","0","18","0","18","0","18","0","18","54","67","0","18","7","11","20","31","5","9","0","18","0","18","0","18","83","45","0","18","9","14","19","19","0","18","0","18","0","18","0","18","0","18","25","33","8","13","11","14","11","17","0","18","0","18"
"8600000US64114","ZCTA5 64114","338","101","141","70","0","21","0","21","0","21","3","7","4","7","14","16","15","22","0","21","29","32","31","31","35","34","10","11","0","21","0","21","197","70","0","21","0","21","6","9","0","21","0","21","5","7","30","30","9","15","11","16","86","58","23","22","13","16","8","13","6","9"
"8600000US64116","ZCTA5 64116","745","312","269","158","0","18","0","18","33","69","0","18","0","18","81","72","42","51","0","18","22","34","31","43","5","18","35","36","20","26","0","18","476","217","0","18","0","18","0","18","11","33","43","63","134","86","27","40","0","18","19","33","107","64","71","43","35","31","29","36","0","18"
"8600000US64117","ZCTA5 64117","465","256","337","214","3","5","20","27","18","27","0","18","0","18","109","157","56","62","20","26","34","33","9","17","36","44","32","29","0","18","0","18","128","73","0","18","0","18","0","18","0","18","0","18","9","17","11","17","0","18","58","51","21","25","21","20","8","14","0","18","0","18"
"8600000US64118","ZCTA5 64118","1411","457","704","260","19","25","15","18","94","76","59","32","21","33","53","59","28","46","119","103","41","37","155","90","40","38","47","53","0","24","13","22","707","257","100","84","57","54","17","16","29","25","0","24","112","86","53","64","80","67","100","69","54","36","21","16","26","36","50","48","8","14"
"8600000US64119","ZCTA5 64119","776","321","455","213","68","62","28","35","8","13","5","10","33","79","17","31","80","72","44","51","85","56","33","34","33","49","21","27","0","21","0","21","321","138","0","21","50","42","16","26","0","21","0","21","25","38","0","21","68","57","90","55","3","8","32","28","28","28","9","15","0","21"
"8600000US64120","ZCTA5 64120","10","15","10","15","0","11","0","11","0","11","0","11","0","11","0","11","10","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64123","ZCTA5 64123","953","407","509","234","46","49","54","40","0","16","92","76","31","35","12","17","0","16","56","40","29","22","89","69","43","27","47","45","0","16","10","15","444","215","15","24","49","75","87","67","58","51","12","18","0","16","49","45","47","38","9","15","85","71","13","19","20","19","0","16","0","16"
"8600000US64124","ZCTA5 64124","765","268","397","165","57","61","21","23","13","13","7","11","0","18","26","24","62","57","15","24","32","30","48","55","31","22","55","35","30","31","0","18","368","121","20","23","0","18","6","16","12","12","23","24","34","31","47","34","34","30","49","42","31","28","40","30","66","47","6","11","0","18"
"8600000US64125","ZCTA5 64125","7","9","5","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","8","0","11","0","11","0","11","0","11","0","11","2","4","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","2","4","0","11","0","11","0","11","0","11","0","11"
"8600000US64126","ZCTA5 64126","77","58","32","23","0","16","9","15","4","8","0","16","0","16","0","16","0","16","0","16","9","14","5","8","0","16","0","16","5","7","0","16","45","43","3","6","5","10","6","11","0","16","0","16","0","16","20","27","0","16","11","13","0","16","0","16","0","16","0","16","0","16"
"8600000US64127","ZCTA5 64127","208","169","82","68","27","31","22","27","0","18","0","18","0","18","6","8","0","18","5","8","4","7","4","8","0","18","5","8","0","18","9","14","126","106","12","18","20","28","4","9","0","18","0","18","10","17","12","12","26","26","6","8","27","37","9","9","0","18","0","18","0","18"
"8600000US64128","ZCTA5 64128","14","20","5","7","0","18","0","18","0","18","0","18","0","18","0","18","0","18","5","7","0","18","0","18","0","18","0","18","0","18","0","18","9","13","4","6","0","18","0","18","0","18","0","18","0","18","0","18","5","7","0","18","0","18","0","18","0","18","0","18","0","18"
