"GEO_ID","NAME","B01001C_001E","B01001C_001M","B01001C_002E","B01001C_002M","B01001C_003E","B01001C_003M","B01001C_004E","B01001C_004M","B01001C_005E","B01001C_005M","B01001C_006E","B01001C_006M","B01001C_007E","B01001C_007M","B01001C_008E","B01001C_008M","B01001C_009E","B01001C_009M","B01001C_010E","B01001C_010M","B01001C_011E","B01001C_011M","B01001C_012E","B01001C_012M","B01001C_013E","B01001C_013M","B01001C_014E","B01001C_014M","B01001C_015E","B01001C_015M","B01001C_016E","B01001C_016M","B01001C_017E","B01001C_017M","B01001C_018E","B01001C_018M","B01001C_019E","B01001C_019M","B01001C_020E","B01001C_020M","B01001C_021E","B01001C_021M","B01001C_022E","B01001C_022M","B01001C_023E","B01001C_023M","B01001C_024E","B01001C_024M","B01001C_025E","B01001C_025M","B01001C_026E","B01001C_026M","B01001C_027E","B01001C_027M","B01001C_028E","B01001C_028M","B01001C_029E","B01001C_029M","B01001C_030E","B01001C_030M","B01001C_031E","B01001C_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64113","ZCTA5 64113","54","82","11","18","0","18","0","18","11","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","43","65","0","18","20","31","10","15","0","18","0","18","0","18","0","18","0","18","13","20","0","18","0","18","0","18","0","18","0","18"
"8600000US64114","ZCTA5 64114","27","28","27","28","0","21","0","21","5","10","0","21","0","21","0","21","0","21","0","21","11","19","0","21","0","21","11","19","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21"
"8600000US64116","ZCTA5 64116","32","44","32","44","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","32","44","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18"
"8600000US64117","ZCTA5 64117","30","28","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","30","28","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","9","17","13","20","0","18","8","12","0","18","0","18"
"8600000US64118","ZCTA5 64118","325","301","190","191","0","24","0","24","0","24","0","24","0","24","108","144","26","41","0","24","0","24","8","14","48","57","0","24","0","24","0","24","135","121","0","24","0","24","0","24","0","24","0","24","0","24","46","60","0","24","3","5","0","24","44","55","42","47","0","24","0","24"
"8600000US64119","ZCTA5 64119","218","167","38","29","0","21","0","21","0","21","0","21","0","21","0","21","0","21","19","23","4","9","3","5","4","9","8","13","0","21","0","21","180","163","0","21","0","21","0","21","0","21","16","29","51","68","27","58","12","21","16","25","18","35","8","13","27","29","5","8","0","21"
"8600000US64120","ZCTA5 64120","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64123","ZCTA5 64123","65","87","44","58","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","44","58","0","16","0","16","21","30","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","21","30","0","16","0","16","0","16"
"8600000US64124","ZCTA5 64124","147","135","126","134","0","18","32","52","0","18","0","18","0","18","0","18","0","18","41","62","0","18","47","59","6","8","0","18","0","18","0","18","21","23","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","21","23","0","18","0","18","0","18","0","18","0","18"
"8600000US64125","ZCTA5 64125","14","20","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","20","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","20","0","11","0","11"
"8600000US64126","ZCTA5 64126","30","36","9","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","9","16","0","16","0","16","0","16","0","16","0","16","21","23","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","12","18","0","16","0","16","0","16","9","13"
"8600000US64127","ZCTA5 64127","62","52","55","51","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","16","28","24","37","0","18","15","23","0","18","7","11","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","7","11","0","18","0","18","0","18"
"8600000US64128","ZCTA5 64128","29","27","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","29","27","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","11","18","5","8","0","18","13","17"
